s_lu,X_R,Y_R,Z_R,lambda,phi_contact
1197.03837249488,195.10539834388,-293.364924267284,629.886743567875,280.62429331065,4.44089209850063e-14
1197.91276137179,195.403709260199,-293.17415723038,628.906376220993,280.216413410473,2.8421709430404e-14
1198.7871502487,195.679414505226,-292.997508265165,627.917273411693,279.810221472557,-1.77635683940025e-15
1199.66153912562,195.978346167643,-292.804657592299,626.868294013271,279.436282930077,8.88178419700125e-15
1200.53592800253,196.292305657976,-292.600575683537,625.839925551196,279.059321440503,-3.5527136788005e-15
1201.41031687944,196.56064043286,-292.425684626483,624.885323151418,278.644575749116,5.50670620214078e-14
1202.28470575636,196.888306725547,-292.210545500909,623.823483099309,278.289941141289,-5.32907051820075e-14
1203.15909463327,197.168485314351,-292.026317104185,622.785294310919,277.918712815027,2.1316282072803e-14
1204.03348351019,197.471587046303,-291.825322503213,621.846348992818,277.511539935399,7.105427357601e-15
1204.9078723871,197.744728547904,-291.644324675579,620.777772280886,277.157653532546,-7.105427357601e-14
1205.78226126401,198.05641085113,-291.436319498733,619.708612544051,276.814589175356,1.4210854715202e-14
1206.65665014093,198.33821021829,-291.247462180209,618.767220459048,276.412024199606,6.75015598972095e-14
1207.53103901784,198.652191016576,-291.036297101281,617.693146027745,276.077379716252,1.06581410364015e-14
1208.40542789475,198.934051872761,-290.846143748181,616.684309813655,275.710220352526,-4.2632564145606e-14
1209.27981677167,199.213523193383,-290.656921402291,615.70306473257,275.332887153713,-1.4210854715202e-14
1210.15420564858,199.535443494537,-290.438132374554,614.596686550445,275.023416472375,3.5527136788005e-15
1211.0285945255,199.787354573196,-290.266460319825,613.690250533719,274.612015075297,7.105427357601e-15
1211.90298340241,200.130571210388,-290.031668268244,612.535204895991,274.33524367674,7.105427357601e-15
1212.77737227932,200.384369370079,-289.857622981508,611.602034528922,273.94169778313,-3.5527136788005e-14
1213.65176115624,200.698611612941,-289.641407923975,610.515475989846,273.633916051509,-1.77635683940025e-14
1214.52615003315,200.975461530881,-289.450393358416,609.531907376836,273.2737191455,6.3948846218409e-14
1215.40053891006,201.275407370438,-289.242856795805,608.483469841012,272.951334886178,3.19744231092045e-14
1216.27492778698,201.560298383536,-289.045199962556,607.474604742978,272.610229188773,-3.5527136788005e-14
1217.14931666389,201.863570691612,-288.834202943101,606.444208764766,272.285865085896,2.8421709430404e-14
1218.0237055408,202.136085596127,-288.64416830359,605.422777233534,271.953984725251,-3.5527136788005e-14
1218.89809441772,202.44229974509,-288.43002555342,604.400166432514,271.632294495383,5.32907051820075e-14
1219.77248329463,202.719662640955,-288.235618907511,603.37848622934,271.307260269808,-2.1316282072803e-14
1220.64687217155,203.015080208624,-288.028024406278,602.356727259866,270.988760560511,0
1221.52126104846,203.292843164993,-287.832394381731,601.3359999531,270.669086332085,-3.19744231092045e-14
1222.39564992537,203.597387585281,-287.617352337743,600.323083797171,270.353813867166,7.105427357601e-15
1223.27003880229,203.873045417358,-287.422289135418,599.270465430033,270.055224977255,-3.90798504668055e-14
1224.1444276792,204.159268485077,-287.219264643641,598.28471152514,269.728473643686,-3.5527136788005e-14
1225.01881655611,204.446768553582,-287.014883343314,597.23456054537,269.436910507857,2.8421709430404e-14
1225.89320543303,204.730062373673,-286.813030506291,596.259830587184,269.109513062652,1.06581410364015e-14
1226.76759430994,205.017724660681,-286.607617838023,595.202159866051,268.827597211208,4.61852778244065e-14
1227.64198318686,205.281846641482,-286.418609511681,594.25627583646,268.487033328986,1.77635683940025e-14
1228.51637206377,205.59612457643,-286.193203818214,593.167606989649,268.232152963845,-7.105427357601e-15
1229.39076094068,205.85493985868,-286.00717513533,592.228219517701,267.892395066671,2.48689957516035e-14
1230.2651498176,206.143018901827,-285.799681960031,591.164887085448,267.6250608465,-6.3948846218409e-14
1231.13953869451,206.419523281935,-285.600097545175,590.170373921312,267.322638935997,0
1232.01392757142,206.679067716973,-285.412377072877,589.222969928527,266.994811401571,-3.90798504668055e-14
1232.88831644834,207.006518230864,-285.175014251956,588.128385861283,266.760538627313,-3.5527136788005e-14
1233.76270532525,207.237220321166,-285.00743782074,587.224611458675,266.408979401961,7.105427357601e-15
1234.63709420217,207.532967688258,-284.79218693851,586.158916380475,266.158749299618,4.9737991503207e-14
1235.51148307908,207.806058771136,-284.593003136069,585.193639750973,265.853389212633,2.1316282072803e-14
1236.38587195599,208.055737993813,-284.410541714734,584.239778601403,265.539581572532,0
1237.26026083291,208.370953124822,-284.179700679283,583.158248426068,265.310332589996,3.19744231092045e-14
1238.13464970982,208.612176872576,-284.002681145178,582.279195764096,264.959497628769,2.48689957516035e-14
1239.00903858673,208.916859888984,-283.778638422175,581.224122024087,264.719320067433,-4.9737991503207e-14
1239.88342746365,209.170266028784,-283.591916080554,580.259826238957,264.421953203421,2.8421709430404e-14
1240.75781634056,209.42115348851,-283.406703432788,579.34103786185,264.101571884713,1.77635683940025e-14
1241.63220521748,209.728752381096,-283.179154079612,578.271274672709,263.878217270129,-3.90798504668055e-14
1242.50659409439,209.954304377835,-283.011970762555,577.375215615192,263.544778591673,0
1243.3809829713,210.232112139513,-282.805669763453,576.414246707818,263.260306773718,4.2632564145606e-14
1244.25537184822,210.518393259657,-282.592632525555,575.380309328941,263.020677476658,-2.1316282072803e-14
1245.12976072513,210.740501342997,-282.427038953184,574.523774506495,262.671086650204,-4.9737991503207e-14
1246.00414960204,211.037124238577,-282.205465550833,573.484539361135,262.441635411132,2.1316282072803e-14
1246.87853847896,211.279016577873,-282.024415179491,572.539972879621,262.150045992237,4.9737991503207e-14
1247.75292735587,211.519258372168,-281.844279155356,571.667031173908,261.81978276171,1.4210854715202e-14
1248.62731623279,211.80386444395,-281.630463711881,570.632889218162,261.592517391096,2.8421709430404e-14
1249.5017051097,212.044794990843,-281.449108221391,569.724675401102,261.286800376683,-1.4210854715202e-14
1250.37609398661,212.291051064385,-281.263409720925,568.834350543224,260.974028039742,7.105427357601e-15
1251.25048286353,212.564472776432,-281.056829304858,567.836570787146,260.730884324394,-7.8159700933611e-14
1252.12487174044,212.808473923572,-280.872124073607,566.931904964789,260.430178476708,7.105427357601e-15
1252.99926061735,213.034377149947,-280.700821193606,566.065447042155,260.105524506355,6.3948846218409e-14
1253.87364949427,213.306397554251,-280.494167190494,565.058847507783,259.874167974334,-2.1316282072803e-14
1254.74803837118,213.548417252446,-280.309954678749,564.171787329549,259.569033209645,3.5527136788005e-14
1255.62242724809,213.771455374352,-280.139897510893,563.333563226072,259.233160724016,0
1256.49681612501,214.049337023301,-279.927631243351,562.323810311949,259.01175631271,-8.5265128291212e-14
1257.37120500192,214.278144849543,-279.752522997689,561.452536542649,258.700499391232,2.1316282072803e-14
1258.24559387884,214.512171497584,-279.573113548724,560.60405919699,258.378692326774,-1.4210854715202e-14
1259.11998275575,214.752372563392,-279.38864698955,559.683118848535,258.103140661106,2.1316282072803e-14
1259.99437163266,215.000705489643,-279.19759000722,558.757308962081,257.834313886355,4.2632564145606e-14
1260.86876050958,215.227791473438,-279.022571546943,557.922479759924,257.508450171972,7.105427357601e-14
1261.74314938649,215.462215070496,-278.841588638749,557.080712266587,257.190035518423,-2.1316282072803e-14
1262.6175382634,215.717074157563,-278.644471711663,556.107714475513,256.956994622065,-2.1316282072803e-14
1263.49192714032,215.927508585512,-278.481433400395,555.283701302411,256.62638380664,-4.2632564145606e-14
1264.36631601723,216.141707971864,-278.315216613755,554.463969969361,256.295615432725,5.6843418860808e-14
1265.24070489415,216.384923336032,-278.126163254433,553.551285373259,256.029411423448,-2.1316282072803e-14
1266.11509377106,216.61684025343,-277.945574276518,552.680596543165,255.737065624437,-2.1316282072803e-14
1266.98948264797,216.832979960965,-277.776990674265,551.870303376712,255.406045205852,4.9737991503207e-14
1267.86387152489,217.045204170683,-277.611197716838,551.069519338861,255.069892314965,3.5527136788005e-14
1268.7382604018,217.287018541634,-277.421969801798,550.118282866403,254.834624742248,-1.4210854715202e-14
1269.61264927871,217.499057259414,-277.255762517922,549.324884098024,254.497189484267,-2.1316282072803e-14
1270.48703815563,217.712535366476,-277.088162332251,548.524531011022,254.165881927324,0
1271.36142703254,217.927066086537,-276.919467768244,547.718764699525,253.839692653611,0
1272.23581590946,218.161997193834,-276.734422766851,546.808878301178,253.584589436641,2.8421709430404e-14
