z,r
426.783159159159,352.387
427.740072072072,352.387
428.696984984985,352.387
429.653897897898,352.387
430.610810810811,352.387
431.567723723724,352.387
432.524636636637,352.387
433.48154954955,352.387
434.438462462462,352.387
435.395375375375,352.387
436.352288288288,352.387
437.309201201201,352.387
438.266114114114,352.387
439.223027027027,352.387
440.17993993994,352.387
441.136852852853,352.387
442.093765765766,352.387
443.050678678679,352.387
444.007591591592,352.387
444.964504504504,352.387
445.921417417417,352.387
446.87833033033,352.387
447.835243243243,352.387
448.792156156156,352.387
449.749069069069,352.387
450.705981981982,352.387
451.662894894895,352.387
452.619807807808,352.387
453.576720720721,352.387
454.533633633634,352.387
455.490546546547,352.387
456.447459459459,352.387
457.404372372372,352.387
458.361285285285,352.387
459.318198198198,352.387
460.275111111111,352.387
461.232024024024,352.387
462.188936936937,352.387
463.14584984985,352.387
464.102762762763,352.387
465.059675675676,352.387
466.016588588589,352.387
466.973501501502,352.387
467.930414414414,352.387
468.887327327327,352.387
469.84424024024,352.387
470.801153153153,352.387
471.758066066066,352.387
472.714978978979,352.387
473.671891891892,352.387
474.628804804805,352.387
475.585717717718,352.387
476.542630630631,352.387
477.499543543544,352.387
478.456456456456,352.387
479.413369369369,352.387
480.370282282282,352.387
481.327195195195,352.387
482.284108108108,352.387
483.241021021021,352.387
484.197933933934,352.387
485.154846846847,352.387
486.11175975976,352.387
487.068672672673,352.387
488.025585585586,352.387
488.982498498499,352.387
489.939411411411,352.387
490.896324324324,352.387
491.853237237237,352.387
492.81015015015,352.387
493.767063063063,352.387
494.723975975976,352.387
495.680888888889,352.387
496.637801801802,352.387
497.594714714715,352.387
498.551627627628,352.387
499.508540540541,352.387
500.465453453453,352.387
501.422366366366,352.387
502.379279279279,352.387
503.336192192192,352.387
504.293105105105,352.387
505.250018018018,352.387
506.206930930931,352.387
507.163843843844,352.387
508.120756756757,352.387
509.07766966967,352.387
510.034582582583,352.387
510.991495495495,352.387
511.948408408408,352.387
512.905321321321,352.387
513.862234234234,352.387
514.819147147147,352.387
515.77606006006,352.387
516.732972972973,352.387
517.689885885886,352.387
518.646798798799,352.387
519.603711711712,352.387
520.560624624625,352.387
521.517537537538,352.387
522.47445045045,352.387
523.431363363363,352.387
524.388276276276,352.387
525.345189189189,352.387
526.302102102102,352.387
527.259015015015,352.387
528.215927927928,352.387
529.172840840841,352.387
530.129753753754,352.387
531.086666666667,352.387
532.04357957958,352.387
533.000492492492,352.387
533.957405405405,352.387
534.914318318318,352.387
535.871231231231,352.387
536.828144144144,352.387
537.785057057057,352.387
538.74196996997,352.387
539.698882882883,352.387
540.655795795796,352.387
541.612708708709,352.387
542.569621621622,352.387
543.526534534535,352.387
544.483447447447,352.387
