s,X,Y,Z
581.9667289541464,-201.9045681902744,196.2777398666679,831.2709408807549
592.947233274036,-201.7442631482803,194.6451711824409,832.5626855136272
603.9277375939255,-201.5659824611871,193.05208704744632,833.8208494749344
614.9082419138151,-201.37087666944984,191.49874846177877,835.045864499885
625.8887462337046,-201.16009063832502,189.98539330188459,836.2381288406839
636.8692505535942,-200.93476382131414,188.51223768204449,837.3980080361919
647.8497548734837,-200.69603030654557,187.079475607513,838.5258369567921
658.8302591933733,-200.44501880770088,185.6872787256974,839.621921663786
669.8107635132628,-200.18285289740658,184.33579768449465,840.6865398452289
680.7912678331523,-199.9106510555492,183.0251622161797,841.7199422094737
691.771772153042,-199.62952674535077,181.75548119453813,842.7223537647149
702.7522764729315,-199.34058269140107,180.526830951491,843.6939862736706
713.732780792821,-198.75624899712153,178.20315527224247,845.5307156699332
724.7132851127107,-196.9718008158169,171.64475326768655,850.6225781159558
735.6937894326002,-193.03632607324812,158.5402578135804,860.2926933152723
746.6742937524897,-186.08522837121788,137.722304212599,874.3277232641256
757.6547980723793,-175.72011581099295,109.62452723760586,891.0105168930747
768.6353023922688,-162.3747260911146,76.5047753135544,907.7650261534689
779.6158067121584,-147.28170023317946,41.927473940705966,922.0847953592098
790.5963110320479,-132.01913412165797,9.518096329021944,932.3876747630864
801.5768153519375,-117.91471687540309,-18.349088641302757,938.4518194625527
812.557319671827,-105.6865672149199,-41.01252008489064,941.1338029370381
823.5378239917166,-95.4235118953635,-59.04561549793348,941.6442706615135
834.5183283116062,-86.80702105126562,-73.50444782668575,940.9640513740749
845.4988326314957,-79.39502290597477,-85.45352889943442,939.6677023460368
856.4793369513852,-72.74957657113609,-95.78869932864447,938.0199019152262
867.4598412712749,-66.48266832387168,-105.21471925206993,936.1011085438345
878.4403455911644,-60.27139147317041,-114.26230552678044,933.8940624128618
889.4208499110539,-53.858936142764975,-123.31454190774267,931.3335657477701
900.4013542309435,-47.04965901634418,-132.6335391591715,928.3332472896512
911.381858550833,-39.7035806750788,-142.3826231532156,924.8005619605146
922.3623628707226,-31.734037741881792,-152.64115106247996,920.6474845240218
933.3428671906122,-23.108572788343494,-163.41307744187174,915.8006432271868
944.3233715105017,-13.854059416538817,-174.6287597355934,910.213797266588
955.3038758303912,-4.062587797643744,-186.14486845052585,903.8824386133329
966.2843801502809,6.1118083995536665,-197.7538700329307,896.8545768094802
977.2648844701704,16.473021562842433,-209.21046206180006,889.2298294496072
988.2453887900599,26.819993058498966,-220.27395853784498,881.1411861700777
999.2258931099494,36.996260185286886,-230.7592950946406,872.717314203381
1010.2063974298391,46.93489101837956,-240.57633884608683,864.0353001853922
1021.1869017497286,56.68827273205733,-249.74473715573058,855.0743940830201
1032.1674060696182,66.4411613901038,-258.38190133669355,845.6761108458619
1043.1479103895076,76.50143487986246,-266.6593288028864,835.5191134006793
1054.1284147093972,87.2547360844322,-274.7210619265977,824.123493967368
1065.1089190292869,99.04798924486613,-282.5575127144173,810.9240986167628
1076.0894233491763,111.95564135827364,-289.8627765494615,795.4918822684419
1087.069927669066,125.51388574885587,-296.0275228942336,777.9036620162789
1098.0504319889556,138.7140991297083,-300.43618992127165,759.0149613890533
1109.030936308845,150.4713029331217,-302.90073924706377,740.2138413875705
1120.0114406287346,160.212625364301,-303.74975156038414,722.6921013983512
1130.9919449486242,168.00304998522347,-303.5112039814535,706.9343450982896
1141.9724492685136,174.26184598089267,-302.6088380406931,692.7732429496269
1152.9529535884033,179.4590721384135,-301.28056452872767,679.7274459292842
1163.933457908293,183.97108517534292,-299.62882908890845,667.2856910025773
1174.9139622281823,188.06049648980783,-297.69134208884066,655.0401777160153
1185.894466548072,191.90261595900444,-295.4963669812802,642.7258089891338
1196.8749708679616,195.6226500105158,-293.1011554205859,630.2111238639463
1207.855475187851,199.3171573305838,-290.60156324906166,617.4726558422121
1218.8359795077406,202.9870373977241,-288.05010044548726,604.6216258957304
1229.8164838276302,206.57872098264784,-285.4852532201844,591.8577830687901
1240.7969881475196,210.03122465722458,-282.95491227089633,579.4020818025072
1251.7774924674093,213.29036988736442,-280.50635622452285,567.4532881837188
1262.7579967872987,216.31873461557848,-278.1776460474372,556.1564203030656
1273.7385011071883,219.10015774326476,-275.9922438147703,545.5867469326873
1284.719005427078,221.64013204139366,-273.9566563387207,535.745017342361
1295.6995097469674,223.96513358921786,-272.05921542962574,526.5542136523568
1306.680014066857,226.1222412125485,-270.2689952594184,517.8537862583364
1317.6605183867466,228.17928009602866,-268.534567318589,509.3913969140359
1328.641022706636,230.22651406340353,-266.78146485707526,500.8088594872425
1339.6215270265257,232.3805252057168,-264.9073218672352,491.619762395055
1350.6020313464153,234.79218779895137,-262.7721947200922,481.1709425785641
1361.5825356663047,237.6630209514074,-260.17856606853553,468.56852309419094
1372.5630399861943,241.27804215141214,-256.82971819006275,452.5296861149917
1383.543544306084,246.0601842437764,-252.25182560916383,431.11260534814727
1394.5240486259734,252.63137221334676,-245.67048581284357,401.21423439551444
1405.504552945863,261.93029885015767,-235.73102536188532,357.7251853193337
1416.4850572657526,274.66433354519165,-219.92542991528813,293.88949934008343
1427.465561585642,281.12225783034484,-195.15206501462427,228.77654321285047
1438.4460659055317,277.4719745425363,-166.30167292350313,181.64857088994444
1449.4265702254213,269.7711877707141,-141.05521687593156,151.55917981325808
1460.4070745453107,262.9838087028734,-123.94406019523541,134.6247440033742
1471.3875788652003,259.1211845350954,-115.31445489961826,126.82071339305787
1482.36808318509,257.71631713737474,-112.36809839891401,124.231699729215
1493.3485875049794,256.9918049165185,-110.9108306576136,122.9516808802436
1504.329091824869,256.2647390241096,-109.49680934777247,121.70510038672774
1515.3095961447586,255.536278633836,-108.12584999919729,120.4915261549537
1526.290100464648,254.80757496004543,-106.79776737512138,119.3105718629127
1537.2706047845377,254.07976632432036,-105.51235715078936,118.16188279598617
1548.2511091044273,253.35397821709338,-104.26939610112723,117.04513426537682
1559.2316134243167,252.63132341998232,-103.06864226030139,115.96003012792517
1570.2121177442064,251.91290270110463,-101.90983605450332,114.90630230543456
1581.1926220640958,251.1998046536845,-100.79270000906764,113.88370914577735
1592.1731263839854,250.49310553400332,-99.71693853512589,112.89203386959917
1603.153630703875,249.79386984878195,-98.68223891511454,111.93108420998715
1614.1341350237644,249.10315042846707,-97.68827147115316,111.00069142094839
1625.114639343654,248.42198826987888,-96.73468940898975,110.10070899121564
1636.0951436635437,247.7514125122956,-95.82112892689548,109.2310116728786
1647.075647983433,247.09244100374167,-94.9472101423494,108.39149538293526
1658.0561523033227,246.44608006993892,-94.1125368729586,107.58207603155688
1669.0366566232124,245.81332428376425,-93.31669650427256,106.80268848227735
1680.0171609431018,245.19515688336284,-92.55926071841968,106.05328642158861
1690.9976652629914,244.59254981209716,-91.83978568075366,105.33384172452585
1701.978169582881,244.00646350567916,-91.15781194950173,104.64434358876471
1712.9586739027704,243.4378467854212,-90.51286457398965,103.9847979172086
1723.93917822266,242.88763731825813,-89.90445379913731,103.35522730917967
1734.9196825425497,242.3567613534539,-89.3320749664079,102.75567034453692
1745.900186862439,241.8461334939377,-88.7952084696135,102.18618088702053
1756.8806911823287,241.35665697084792,-88.29332027133475,101.64682802960559
1767.8611955022184,240.88922365235265,-87.82586212813865,101.13769580963881
1778.8416998221078,240.44471379474936,-87.39227155373663,100.65888260497854
1789.8222041419974,240.0239957180214,-86.99197183947257,100.21050062734321
1800.802708461887,239.55969664763646,-86.56164903757266,99.72102791486
1811.7832127817765,238.2576659444767,-85.389998451497,98.36954798695817
1822.763717101666,235.28976160346772,-82.80722233441892,95.37168684538089
1833.7442214215557,230.18495447043642,-78.52255629008629,90.43160515867766
1844.7247257414451,222.856121644081,-72.58298089904773,83.73455420075399
1855.7052300613348,213.61346047928387,-65.32805829006199,75.84177202142483
1866.6857343812244,203.12691012056473,-57.32966980926679,67.514046031747
1877.6662387011138,192.25228215119228,-49.245658831800775,59.47950386723129
1888.6467430210034,181.78252604250133,-41.63444188326603,52.250235331806564
1899.627247340893,172.26520831212585,-34.839793330393235,46.06615859921878
1910.6077516607825,163.94101610196938,-28.97726894950396,40.9371366635353
1921.588255980672,156.78746262357447,-24.00128541084524,36.72814295695248
1932.5687603005617,150.61909489904932,-19.764759847507094,33.24185509250199
1943.5492646204511,145.1755187379608,-16.07383457862808,30.272790525189166
1954.5297689403408,140.18392014042405,-12.733046030665854,27.63732562285101
1965.5102732602302,135.3949211934916,-9.569663956859763,25.18595657787978
1976.4907775801198,130.59606359261144,-6.441681526099586,22.80432535313134
1987.4712819000094,125.61266543060844,-3.23711850043275,20.409528189604124
1998.4517862198988,120.30065118349786,0.13172166956334763,17.94422456815382
2009.4322905397885,114.53545761937323,3.7359697299173007,15.370589291080819
2020.4127948596781,108.20201117197756,7.6364687964789475,12.666511959818024
2031.3932991795675,101.1913882474152,11.885103188800187,9.826450697750964
2042.3738034994572,93.40871809639566,16.51857849526062,6.868279385655249
2053.3543078193466,84.80132674434515,21.539974814468565,3.8478132557752573
2064.3348121392364,75.41389726608608,26.88614956637165,0.8781504543537295
2075.315316459126,68.73685483199299,30.212460423028766,6.211557490587438e-08
2086.2958207790152,63.56732863723754,32.51996037768541,2.3631300294368884e-07
2097.276325098905,58.58991001123507,34.73194605323439,2.490926220843903e-08
2108.2568294187945,53.8324479357885,36.83396875419436,6.786346062881421e-08
2119.237333738684,49.27444618443608,38.833110830805836,8.000046136658057e-08
2130.2178380585738,44.84696962042051,40.758035520902176,9.436806802654019e-08
2141.198342378463,40.4433525279994,42.654165141146436,1.0719924592450525e-07
2152.1788466983526,35.94463095736927,44.57290351480332,2.8512756600207467e-09
