step,z_k,z_next,predictor,u_cur,v_cur,u_pred,v_pred,Phi_before,Phi_after,newton_iters,newton_conv,u_after,v_after,kappa_n,flag,ds_ratio,bisect_level,note
40,518.8072,531.7774,DAE,174.258012,1.755434,175.993689,1.769497,1.6415e-06,-1.6314e-11,1,1,175.993688,1.769497,-8.558230e-03,0,1.0050,0,OK
41,531.7774,544.7476,DAE,175.993688,1.769497,177.697602,1.783834,3.5137e-06,2.5480e-11,1,1,177.6976,1.783834,-8.567433e-03,0,1.0061,0,OK
42,544.7476,557.7178,DAE,177.6976,1.783834,179.378806,1.798459,4.7668e-06,-2.9274e-11,1,1,179.378805,1.798459,-8.546268e-03,0,1.0071,0,OK
43,557.7178,570.688,DAE,179.378805,1.798459,181.045849,1.813391,5.6836e-06,1.2392e-11,1,1,181.045847,1.813391,-8.495192e-03,0,1.0080,0,OK
44,570.688,583.6582,DAE,181.045847,1.813391,182.707032,1.828644,6.0230e-06,-4.9738e-13,1,1,182.70703,1.828644,-8.414446e-03,0,1.0089,0,OK
45,583.6582,596.6283,DAE,182.70703,1.828644,184.37065,1.844238,6.3352e-06,-3.6096e-12,1,1,184.370647,1.844238,-8.304057e-03,0,1.0096,0,OK
46,596.6283,609.5985,DAE,184.370647,1.844238,186.045256,1.860189,6.3378e-06,2.4556e-11,1,1,186.045254,1.860189,-8.163819e-03,0,1.0104,0,OK
47,609.5985,622.5687,DAE,186.045254,1.860189,187.739958,1.876515,6.6927e-06,2.5778e-11,1,1,187.739956,1.876515,-7.993278e-03,0,1.0111,0,OK
48,622.5687,635.5389,DAE,187.739956,1.876515,189.464798,1.893232,6.9576e-06,1.7479e-12,1,1,189.464795,1.893232,-7.791702e-03,0,1.0117,0,OK
49,635.5389,648.5091,DAE,189.464795,1.893232,191.231217,1.910358,7.2910e-06,1.3287e-12,1,1,191.231214,1.910358,-7.558033e-03,0,1.0123,0,OK
50,648.5091,661.4792,DAE,191.231214,1.910358,193.052765,1.927904,8.4638e-06,7.6810e-12,1,1,193.052762,1.927904,-7.290829e-03,0,1.0129,0,OK
