s,z_orig,r_orig,z_smooth,r_smooth,dr_orig,dz_orig,dr_smooth,dz_smooth,curvature_orig,curvature_smooth
139.715254,71.178924,173.749201,71.218541,173.753220,0.719551,0.694438,0.719522,0.693995,0.00251057,0.00244744
141.097885,72.140801,174.742408,72.179852,174.746343,0.717150,0.696917,0.716983,0.696622,0.00248220,0.00284098
142.475651,73.102678,175.728831,73.141445,175.732416,0.714776,0.699352,0.714510,0.699162,0.00245474,0.00230781
143.848670,74.064556,176.708614,74.102985,176.711906,0.712428,0.701743,0.712240,0.701476,0.00242840,0.00241777
145.217059,75.026433,177.681898,75.064475,177.684952,0.710104,0.704095,0.709945,0.703801,0.00240335,0.00235917
146.580924,75.988310,178.648810,76.025917,178.651679,0.707804,0.706407,0.707686,0.706075,0.00237918,0.00234457
147.940370,76.950188,179.609479,76.987319,179.612209,0.705527,0.708681,0.705433,0.708327,0.00235631,0.00234515
149.295495,77.912065,180.564023,77.948690,180.566651,0.703271,0.710920,0.703220,0.710526,0.00233494,0.00226110
150.646392,78.873942,181.512557,78.910070,181.515079,0.701036,0.713125,0.700860,0.712855,0.00231476,0.00265121
151.993149,79.835820,182.455184,79.871695,182.457355,0.698818,0.715297,0.698540,0.715130,0.00229555,0.00217808
153.335852,80.797697,183.392010,80.833293,183.393859,0.696619,0.717439,0.696396,0.717217,0.00227791,0.00228124
154.674579,81.759574,184.323129,81.794863,184.324688,0.694436,0.719553,0.694228,0.719317,0.00226174,0.00223120
156.009406,82.721452,185.248632,82.756404,185.249932,0.692269,0.721638,0.692085,0.721379,0.00224676,0.00222650
157.340405,83.683329,186.168605,83.717919,186.169677,0.690114,0.723699,0.689952,0.723420,0.00223363,0.00221284
158.667642,84.645207,187.083126,84.679411,187.083995,0.687972,0.725736,0.687825,0.725442,0.00222172,0.00221212
159.991179,85.607084,187.992270,85.640887,187.992956,0.685840,0.727751,0.685710,0.727441,0.00221112,0.00218914
161.311077,86.568961,188.896108,86.602354,188.896621,0.683718,0.729745,0.683573,0.729449,0.00220243,0.00225644
162.627390,87.530839,189.794702,87.563895,189.794967,0.681603,0.731721,0.681350,0.731526,0.00219525,0.00236927
163.940171,88.492716,190.688114,88.525571,190.687983,0.679495,0.733679,0.679183,0.733537,0.00218968,0.00213656
165.249466,89.454593,191.576397,89.487239,191.575879,0.677391,0.735622,0.677102,0.735457,0.00218580,0.00219145
166.555320,90.416471,192.459600,90.448898,192.458705,0.675290,0.737551,0.675005,0.737381,0.00218345,0.00217087
167.857775,91.378348,193.337769,91.410545,193.336509,0.673190,0.739468,0.672916,0.739287,0.00218294,0.00217369
169.156869,92.340225,194.210944,92.372179,194.209332,0.671090,0.741374,0.670825,0.741183,0.00218444,0.00217414
170.452634,93.302103,195.079161,93.333801,195.077209,0.668988,0.743272,0.668732,0.743070,0.00218749,0.00217921
171.745102,94.263980,195.942449,94.295412,195.940168,0.666882,0.745162,0.666632,0.744953,0.00219222,0.00218750
