z,u,v,Phi,kappa_n,newton_iters,flag
416.74158688140415,0.0,0.0,0.0,-0.0017640565749443924,0,0
420.74871752449457,0.0,0.0,0.0,-0.001764056722928568,0,0
424.755848167585,0.0,0.0,0.0,-0.0017640569322310941,0,0
428.7629788106754,0.0,0.0,0.0,-0.0017640571970724721,0,0
432.7701094537658,0.0,0.0,0.0,-0.001764057520490452,0,0
436.7772400968563,0.0,0.0,0.0,-0.0017640579097381384,0,0
440.7843707399467,0.0,0.0,0.0,-0.0017640583744598622,0,0
444.79150138303714,0.0,0.0,0.0,-0.0017640589202408928,0,0
448.79863202612756,0.0,0.0,0.0,-0.001764059544565571,0,0
452.805762669218,0.0,0.0,0.0,-0.001764060237985772,0,0
456.8128933123084,0.0,0.0,0.0,-0.0017640609857746392,0,0
460.8200239553988,0.0,0.0,0.0,-0.0017640617704200018,0,0
464.82715459848924,0.0,0.0,0.0,-0.0017640625748025775,0,0
468.83428524157966,0.0,0.0,0.0,-0.0017640633852215736,0,0
472.8414158846701,0.0,0.0,0.0,-0.00176406419417921,0,0
476.8485465277605,0.0,0.0,0.0,-0.0017640650030756083,0,0
480.8556771708509,0.0,0.0,0.0,-0.0017640658250302637,0,0
484.86280781394134,0.0,0.0,0.0,-0.0017640666882351669,0,0
488.8699384570318,0.0,0.0,0.0,-0.0017640676406969595,0,0
492.87706910012224,0.0,0.0,0.0,-0.0017640687587876223,0,0
496.88419974321266,0.0,0.0,0.0,-0.0017640701633523095,0,0
500.8913303863031,0.0,0.0,0.0,-0.001764072057967265,0,0
504.8984610293935,0.0,0.0,0.0,-0.0017640747987077428,0,0
508.9055916724839,0.0,0.0,0.0,-0.0017640791235209962,0,0
512.9127223155743,0.0,0.0,0.0,-0.0017640864491103047,0,0
516.9198529586648,0.0,0.0,0.0,-0.0017641011492517081,0,0
520.9269836017552,0.0,0.0,0.0,-0.0017641282765782425,0,0
524.9341142448457,0.0,0.0,0.0,-0.0017641694002577032,0,0
528.941244887936,0.0,0.0,0.0,-0.0017642251944977344,0,0
532.9483755310265,0.0,0.0,0.0,-0.0017642908942762452,0,0
536.9555061741169,0.0,0.0,0.0,-0.0017643469701787273,0,0
540.9626368172073,0.0,0.0,0.0,-0.00176437627377351,0,0
544.9697674602977,0.0,0.0,0.0,-0.001764387321998634,0,0
548.9768981033882,0.0,0.0,0.0,-0.0017643960628266845,0,0
552.9840287464785,0.0,0.0,0.0,-0.0017644051855619236,0,0
556.991159389569,0.0,0.0,0.0,-0.0017644142457084267,0,0
560.9982900326594,0.0,0.0,0.0,-0.0017644233493559168,0,0
565.0054206757499,0.0,0.0,0.0,-0.001764432446610036,0,0
569.0125513188403,0.0,0.0,0.0,-0.0017644415305287618,0,0
573.0196819619307,0.0,0.0,0.0,-0.0017644505812940449,0,0
577.0268126050212,0.0,0.0,0.0,-0.0017644595819694448,0,0
581.0339432481115,0.0,0.0,0.0,-0.0017644685141936585,0,0
585.041073891202,0.0,0.0,0.0,-0.0017644773595032169,0,0
589.0482045342924,0.0,0.0,0.0,-0.0017644860990941543,0,0
593.0553351773829,0.0,0.0,0.0,-0.001764494714030629,0,0
597.0624658204732,0.0,0.0,0.0,-0.0017645031853368385,0,0
601.0695964635637,0.0,0.0,0.0,-0.0017645114941311974,0,0
605.0767271066541,0.0,0.0,0.0,-0.001764519621755006,0,0
609.0838577497445,0.0,0.0,0.0,-0.001764527549907441,0,0
613.0909883928349,0.0,0.0,0.0,-0.00176453526078178,0,0
617.0981190359254,0.0,0.0,0.0,-0.0017645427372013271,0,0
621.1052496790159,0.0,0.0,0.0,-0.0017645499627573248,0,0
625.1123803221062,0.0,0.0,0.0,-0.0017645569219295583,0,0
629.1195109651967,0.0,0.0,0.0,-0.0017645636002534032,0,0
633.1266416082871,0.0,0.0,0.0,-0.0017645699842887593,0,0
637.1337722513775,0.0,0.0,0.0,-0.0017645760622863407,0,0
641.1409028944679,0.0,0.0,0.0,-0.0017645818222400734,0,0
645.1480335375584,0.0,0.0,0.0,-0.0017645872595049696,0,0
649.1551641806487,0.0,0.0,0.0,-0.001764592349261822,0,0
653.1622948237392,0.0,0.0,0.0,-0.001764597147548575,0,0
657.1694254668296,0.0,0.0,0.0,-0.0017646014317029316,0,0
661.17655610992,0.0,0.0,0.0,-0.0017646073510708194,0,0
665.1836867530104,0.0,0.0,0.0,-0.0017646239155513798,0,0
669.1908173961009,0.0,0.0,0.0,-0.0017646600024475714,0,0
673.1979480391914,0.0,0.0,0.0,-0.0017647248278589234,0,0
677.2050786822817,0.0,0.0,0.0,-0.0017648318155824374,0,0
681.2122093253722,0.0,0.0,0.0,-0.0017650030300628006,0,0
685.2193399684626,0.0,0.0,0.0,-0.0017652758281446962,0,0
689.226470611553,0.0,0.0,0.0,-0.0017657141950234957,0,0
693.2336012546434,0.0,0.0,0.0,-0.0017664348793341121,0,0
697.2407318977339,0.0,0.0,0.0,-0.0017676451810087052,0,0
701.2478625408243,0.0,0.0,0.0,-0.0017698987528878632,0,0
705.2549931839147,0.0,0.0,0.0,-0.001790060889264171,0,0
709.2621238270051,0.0,0.0,0.0,-0.0018125547081203751,0,0
713.2692544700956,0.0,0.0,0.0,-0.0020551440484127097,0,0
717.2763851131859,0.0,0.0,0.0,-0.0033726412948531623,0,0
721.2835157562764,0.0,0.0,0.0,-0.0018592473467119231,0,0
725.2906463993669,0.0,0.0,0.0,-0.0017919045420801106,0,0
729.2977770424573,0.0,0.0,0.0,-0.0017762193899055942,0,0
733.3049076855477,0.0,0.0,0.0,-0.0017703914186437545,0,0
