X,Y,Z
237.66300758129336,-260.1785781636688,468.5685970740234
234.79213687436112,-262.7722401619455,481.1712250698933
232.38056226447213,-264.907289538944,491.6195585197416
230.2265327939417,-266.78144856574494,500.8087569373069
228.1792560422836,-268.5345878679702,509.3915266958254
226.12223472738776,-270.26900066105253,517.853820574033
223.96515041854832,-272.05920158623985,526.5541258921705
221.6401297774159,-273.95665832627253,535.7450293613739
219.10015362787257,-275.9922469761762,545.5867674710314
216.3187349750038,-278.1776458811395,556.1564187921734
213.29036422149017,-280.50636044386584,567.453315864223
210.03123694753043,-282.954903253843,579.4020221729559
206.57873179836312,-285.48524530773136,591.857730625694
202.9870135808535,-288.05011731752376,604.6217402004418
199.31716002359715,-290.6015613521309,617.4726429345594
195.6226623257768,-293.10114727826635,630.2110662205262
191.9026118282212,-295.4963694626523,642.7258276061267
188.0605063072854,-297.69133752499454,655.0401371332941
183.97106125068817,-299.6288376921833,667.2857821463522
179.45903858883906,-301.2805723485951,679.7275607931075
174.26192198052726,-302.6088302962898,692.7730128610099
168.00304309743032,-303.5112037175308,706.9343632152736
160.21262572559812,-303.74975167913084,722.6921006757112
150.47125620870312,-302.9007264407168,740.2139362453079
138.71388364761043,-300.4361029082841,759.0153461411967
125.51411980378508,-296.0276480902207,777.9032897612686
111.95570100132254,-289.8628158689059,795.4917960530672
99.04798890998168,-282.55751257174825,810.92409926208
87.25474781246199,-274.7210720638665,824.1234789879907
76.50128174018523,-266.6591816436463,835.5192970203439
66.44123914508474,-258.38198191432616,845.6760217578303
56.688335424002986,-249.74480621757405,855.0743253793283
46.934862728545895,-240.57630604237636,864.0353297547977
36.99627331828229,-230.75931098890788,872.7173011222632
26.819952352653075,-220.27390743509463,881.1412247697893
16.47301248520266,-209.21045027376908,889.2298376055487
6.111887833785275,-197.75397650989797,896.8545093921117
-4.062623719187428,-186.14481884310496,903.8824674204454
-13.854099580703815,-174.62870251424056,910.2138274657306
-23.108554421394388,-163.41310447719638,915.8006303843282
-31.734038721614866,-152.64114951274038,920.6474850483216
-39.70356749851887,-142.38264368688883,924.8005537519788
-47.049651294762086,-132.63355156865504,928.3332428047404
-53.85899156731507,-123.31445001755154,931.3335955700024
-60.27136994884141,-114.26234235291406,933.89405179601
-66.48258732219549,-105.2148623353707,936.101072571345
-72.74964004446105,-95.78858348757096,938.0199265245232
-79.39514699915605,-85.45329439990147,939.667741629116
-86.80685375680048,-73.50477608653043,940.964013685602
-95.42347028557656,-59.04570074139804,941.644266469346
