z,r,dr_dz,d2r_dz2,curvature
66.800702,168.746592,1.558352,-0.023349,0.003678
67.180677,169.155195,1.552390,-0.023192,0.003683
67.560653,169.562491,1.546447,-0.023058,0.003692
67.940628,169.968608,1.540520,-0.022971,0.003708
68.320603,170.373597,1.534588,-0.022961,0.003736
68.700578,170.777437,1.528633,-0.022995,0.003773
69.080553,171.180114,1.522651,-0.022941,0.003795
69.460529,171.581637,1.516691,-0.022547,0.003760
69.840504,171.982026,1.510881,-0.021739,0.003655
70.220479,172.381292,1.505311,-0.020786,0.003522
70.600454,172.779441,1.499971,-0.020216,0.003450
70.980430,173.176478,1.494673,-0.020562,0.003536
71.360405,173.572417,1.489123,-0.021682,0.003757
71.740380,173.967272,1.483204,-0.022831,0.003989
72.120355,174.361022,1.477012,-0.022965,0.004047
72.500330,174.753606,1.470987,-0.021489,0.003819
72.880306,175.144982,1.465548,-0.019131,0.003425
73.260281,175.535212,1.460755,-0.017297,0.003118
73.640256,175.924390,1.456275,-0.017349,0.003147
74.020231,176.312565,1.451433,-0.019346,0.003533
74.400207,176.699723,1.445855,-0.021867,0.004025
74.780182,177.085853,1.439623,-0.023137,0.004296
75.160157,177.470961,1.433323,-0.022132,0.004146
75.540132,177.855060,1.427602,-0.019675,0.003716
75.920107,178.238159,1.422607,-0.017373,0.003304
76.300083,178.620267,1.418116,-0.016390,0.003137
76.680058,179.001387,1.413638,-0.016851,0.003246
77.060033,179.381525,1.408874,-0.017849,0.003461
77.440008,179.760685,1.403826,-0.018653,0.003643
77.819984,180.138874,1.398595,-0.019061,0.003750
78.199959,180.516111,1.393296,-0.019202,0.003807
78.579934,180.892406,1.387960,-0.019100,0.003815
78.959909,181.267721,1.382690,-0.018441,0.003711
79.339884,181.641998,1.377695,-0.017208,0.003488
79.719860,182.015223,1.373088,-0.015904,0.003245
80.099835,182.387468,1.368800,-0.015327,0.003146
80.479810,182.758804,1.364497,-0.015916,0.003288
80.859785,183.129246,1.359860,-0.017146,0.003565
81.239761,183.498781,1.354844,-0.018103,0.003791
81.619736,183.867400,1.349644,-0.018182,0.003836
81.999711,184.235113,1.344558,-0.017509,0.003721
82.379686,184.601929,1.339714,-0.016636,0.003561
82.759661,184.967854,1.335101,-0.015834,0.003412
83.139637,185.332891,1.330692,-0.015122,0.003279
83.519612,185.697043,1.326466,-0.014512,0.003166
83.899587,186.060315,1.322389,-0.014310,0.003140
84.279562,186.422712,1.318262,-0.014828,0.003273
84.659538,186.784239,1.313869,-0.015790,0.003508
85.039513,187.144897,1.309170,-0.016542,0.003700
85.419488,187.504691,1.304323,-0.016563,0.003731
85.799463,187.863627,1.299590,-0.015929,0.003613
86.179438,188.221711,1.295087,-0.015131,0.003454
86.559414,188.578942,1.290798,-0.014460,0.003321
86.939389,188.935313,1.286667,-0.013948,0.003223
87.319364,189.290814,1.282659,-0.013546,0.003149
87.699339,189.645433,1.278748,-0.013362,0.003124
88.079315,189.999156,1.274832,-0.013520,0.003179
88.459290,190.351998,1.270812,-0.013870,0.003280
88.839265,190.703995,1.266675,-0.014192,0.003377
89.219240,191.055175,1.262448,-0.014398,0.003447
89.599215,191.405540,1.258172,-0.014509,0.003495
89.979191,191.755081,1.253862,-0.014475,0.003509
90.359166,192.103798,1.249587,-0.014113,0.003443
90.739141,192.451697,1.245474,-0.013439,0.003298
91.119116,192.798780,1.241584,-0.012721,0.003140
91.499092,193.145051,1.237884,-0.012201,0.003028
91.879067,193.490510,1.234291,-0.011917,0.002973
92.259042,193.835158,1.230748,-0.011801,0.002959
92.639017,194.178999,1.227211,-0.012001,0.003025
93.018992,194.522034,1.223535,-0.012647,0.003205
93.398968,194.864264,1.219596,-0.013450,0.003428
93.778943,195.205691,1.215421,-0.013824,0.003546
94.158918,195.546315,1.211239,-0.013418,0.003463
94.538893,195.886140,1.207293,-0.012553,0.003258
94.918869,196.225164,1.203620,-0.011803,0.003080
95.298844,196.563391,1.200116,-0.011448,0.003003
95.678819,196.900820,1.196646,-0.011376,0.003000
96.058794,197.237453,1.193174,-0.011316,0.002999
96.438769,197.573289,1.189729,-0.011129,0.002965
96.818745,197.908330,1.186359,-0.010844,0.002903
97.198720,198.242577,1.183078,-0.010688,0.002875
97.578695,198.576033,1.179793,-0.010945,0.002959
97.958670,198.908696,1.176342,-0.011586,0.003148
98.338646,199.240559,1.172651,-0.012165,0.003323
98.718621,199.571610,1.168829,-0.012190,0.003349
99.098596,199.901843,1.165108,-0.011635,0.003214
99.478571,200.231250,1.161617,-0.010936,0.003037
99.858546,200.559831,1.158317,-0.010465,0.002920
100.238522,200.887606,1.155107,-0.010263,0.002878
100.618497,201.214591,1.151923,-0.010173,0.002866
100.998472,201.540790,1.148759,-0.010088,0.002855
101.378447,201.866197,1.145618,-0.009998,0.002843
101.758423,202.190807,1.142500,-0.009913,0.002832
102.138398,202.514622,1.139402,-0.009855,0.002829
102.518373,202.837640,1.136312,-0.009831,0.002835
102.898348,203.159863,1.133219,-0.009850,0.002853
103.278323,203.481287,1.130107,-0.009989,0.002907
103.658299,203.801913,1.126917,-0.010288,0.003008
104.038274,204.121738,1.123605,-0.010588,0.003111
104.418249,204.440762,1.120215,-0.010562,0.003119
104.798224,204.758983,1.116908,-0.010073,0.002990
105.178200,205.076400,1.113818,-0.009409,0.002805
105.558175,205.393011,1.110924,-0.008968,0.002685
105.938150,205.708814,1.108105,-0.008876,0.002669
106.318125,206.023808,1.105261,-0.008949,0.002703
106.698100,206.337991,1.102388,-0.008986,0.002726
107.078076,206.651361,1.099512,-0.008944,0.002724
107.458051,206.963916,1.096658,-0.008857,0.002709
107.838026,207.275654,1.093830,-0.008748,0.002687
108.218001,207.586573,1.091037,-0.008617,0.002658
108.597977,207.896670,1.088286,-0.008524,0.002640
108.977952,208.205943,1.085545,-0.008639,0.002687
109.357927,208.514390,1.082711,-0.009038,0.002823
109.737902,208.822009,1.079705,-0.009468,0.002971
110.117877,209.128795,1.076584,-0.009501,0.002995
110.497853,209.434748,1.073547,-0.009004,0.002851
110.877828,209.739864,1.070740,-0.008339,0.002652
111.257803,210.044140,1.068127,-0.007943,0.002536
111.637778,210.347574,1.065570,-0.007903,0.002533
112.017754,210.650162,1.062976,-0.007998,0.002573
112.397729,210.951901,1.060351,-0.008025,0.002592
112.777704,211.252789,1.057732,-0.007959,0.002581
113.157679,211.552821,1.055143,-0.007864,0.002560
113.537654,211.851996,1.052580,-0.007792,0.002546
113.917630,212.150308,1.050031,-0.007750,0.002542
114.297605,212.447756,1.047489,-0.007711,0.002539
114.677580,212.744335,1.044960,-0.007650,0.002528
115.057555,213.040042,1.042452,-0.007572,0.002512
115.437531,213.334873,1.039967,-0.007560,0.002517
115.817506,213.628825,1.037461,-0.007730,0.002584
116.197481,213.921894,1.034858,-0.008046,0.002700
116.577456,214.214075,1.032135,-0.008237,0.002775
116.957431,214.505366,1.029398,-0.008046,0.002722
117.337407,214.795761,1.026795,-0.007569,0.002571
117.717382,215.085258,1.024369,-0.007151,0.002438
118.097357,215.373851,1.022037,-0.007009,0.002397
118.477332,215.661537,1.019700,-0.007054,0.002421
118.857308,215.948312,1.017332,-0.007100,0.002446
119.237283,216.234171,1.014959,-0.007074,0.002446
119.617258,216.519110,1.012603,-0.007005,0.002430
119.997233,216.803125,1.010270,-0.006940,0.002416
120.377208,217.086211,1.007952,-0.006892,0.002408
120.757184,217.368364,1.005646,-0.006856,0.002403
121.137159,217.649580,1.003348,-0.006824,0.002401
121.517134,217.929853,1.001057,-0.006798,0.002400
121.897109,218.209179,0.998771,-0.006765,0.002396
122.277085,218.487553,0.996497,-0.006703,0.002382
122.657060,218.764972,0.994249,-0.006611,0.002358
123.037035,219.041429,0.992031,-0.006576,0.002353
123.417010,219.316921,0.989801,-0.006720,0.002413
123.796985,219.591442,0.987481,-0.007018,0.002528
124.176961,219.864988,0.985045,-0.007211,0.002607
124.556936,220.137553,0.982588,-0.007061,0.002562
124.936911,220.409134,0.980247,-0.006661,0.002426
125.316886,220.679724,0.978057,-0.006324,0.002311
125.696862,220.949319,0.975940,-0.006227,0.002282
126.076837,221.217915,0.973812,-0.006277,0.002308
126.456812,221.485505,0.971656,-0.006315,0.002330
126.836787,221.752085,0.969497,-0.006291,0.002328
127.216762,222.017650,0.967354,-0.006237,0.002316
127.596738,222.282195,0.965227,-0.006192,0.002306
127.976713,222.545714,0.963110,-0.006164,0.002303
128.356688,222.808203,0.960998,-0.006142,0.002302
128.736663,223.069656,0.958891,-0.006117,0.002300
129.116639,223.330069,0.956792,-0.006088,0.002296
129.496614,223.589436,0.954701,-0.006059,0.002293
129.876589,223.847751,0.952617,-0.006035,0.002291
130.256564,224.105011,0.950538,-0.006014,0.002290
130.636539,224.361209,0.948464,-0.005988,0.002287
131.016515,224.616341,0.946399,-0.005953,0.002281
131.396490,224.870400,0.944346,-0.005918,0.002274
131.776465,225.123383,0.942300,-0.005908,0.002278
132.156440,225.375284,0.940250,-0.005934,0.002295
132.536416,225.626098,0.938182,-0.005983,0.002321
132.916391,225.875820,0.936093,-0.006050,0.002354
133.296366,226.124444,0.933974,-0.006131,0.002393
133.676341,226.371965,0.931824,-0.006163,0.002413
134.056316,226.618379,0.929679,-0.006067,0.002384
134.436292,226.863680,0.927591,-0.005872,0.002314
134.816267,227.107863,0.925578,-0.005710,0.002257
135.196242,227.350924,0.923600,-0.005662,0.002244
135.576217,227.592856,0.921616,-0.005684,0.002260
135.956193,227.833656,0.919619,-0.005700,0.002273
136.336168,228.073317,0.917619,-0.005686,0.002274
136.716143,228.311836,0.915628,-0.005660,0.002271
137.096118,228.549208,0.913643,-0.005640,0.002269
137.476093,228.785427,0.911661,-0.005628,0.002271
137.856069,229.020488,0.909681,-0.005618,0.002274
138.236044,229.254388,0.907702,-0.005607,0.002276
138.616019,229.487120,0.905726,-0.005595,0.002278
138.995994,229.718681,0.903752,-0.005584,0.002280
139.375970,229.949066,0.901780,-0.005574,0.002283
139.755945,230.178271,0.899809,-0.005564,0.002286
140.135920,230.406289,0.897840,-0.005555,0.002289
140.515895,230.633119,0.895871,-0.005547,0.002292
140.895870,230.858753,0.893904,-0.005540,0.002296
141.275846,231.083190,0.891937,-0.005532,0.002299
141.655821,231.306423,0.889971,-0.005525,0.002303
142.035796,231.528449,0.888006,-0.005519,0.002307
142.415771,231.749264,0.886041,-0.005516,0.002313
142.795747,231.968863,0.884073,-0.005514,0.002319
143.175722,232.187243,0.882105,-0.005507,0.002323
143.555697,232.404399,0.880140,-0.005492,0.002323
143.935672,232.620329,0.878179,-0.005483,0.002326
144.315647,232.835028,0.876215,-0.005505,0.002342
144.695623,233.048487,0.874235,-0.005556,0.002371
