z,u,v,Phi,kappa_n,iters,flag,pred_type
124.07580804171279,0.0,0.0,0.0,-0.001764058505623107,0,0,
126.71571885111094,0.0,0.0,0.0,-0.0017640586609986933,0,0,
129.35562966050907,0.0,0.0,0.0,-0.0017640588063836309,0,0,
131.9955404699072,0.0,0.0,0.0,-0.0017640589311290857,0,0,
134.63545127930536,0.0,0.0,0.0,-0.0017640590217177566,0,0,
137.2753620887035,0.0,0.0,0.0,-0.001764059074808766,0,0,
139.91527289810165,0.0,0.0,0.0,-0.0017640591014334687,0,0,
142.5551837074998,0.0,0.0,0.0,-0.0017640591201457233,0,0,
145.19509451689794,0.0,0.0,0.0,-0.0017640591417450535,0,0,
147.83500532629608,0.0,0.0,0.0,-0.0017640591641582062,0,0,
150.47491613569423,0.0,0.0,0.0,-0.0017640591872384926,0,0,
153.11482694509237,0.0,0.0,0.0,-0.001764059211492759,0,0,
155.75473775449052,0.0,0.0,0.0,-0.0017640592367550215,0,0,
158.39464856388867,0.0,0.0,0.0,-0.0017640592630053977,0,0,
161.0345593732868,0.0,0.0,0.0,-0.0017640592902901618,0,0,
163.67447018268496,0.0,0.0,0.0,-0.0017640593186015398,0,0,
166.3143809920831,0.0,0.0,0.0,-0.0017640593479402629,0,0,
168.95429180148125,0.0,0.0,0.0,-0.0017640593783129087,0,0,
171.5942026108794,0.0,0.0,0.0,-0.0017640594097212438,0,0,
174.23411342027754,0.0,0.0,0.0,-0.0017640594421668853,0,0,
176.87402422967568,0.0,0.0,0.0,-0.0017640594756513457,0,0,
179.51393503907383,0.0,0.0,0.0,-0.0017640595101750514,0,0,
182.15384584847197,0.0,0.0,0.0,-0.0017640595457376368,0,0,
184.79375665787012,0.0,0.0,0.0,-0.001764059582337925,0,0,
187.43366746726826,0.0,0.0,0.0,-0.0017640596199737762,0,0,
190.0735782766664,0.0,0.0,0.0,-0.0017640596586420618,0,0,
192.71348908606456,0.0,0.0,0.0,-0.0017640596983386075,0,0,
195.3533998954627,0.0,0.0,0.0,-0.001764059739058116,0,0,
197.99331070486085,0.0,0.0,0.0,-0.0017640597807941146,0,0,
200.633221514259,0.0,0.0,0.0,-0.0017640598235388926,0,0,
203.27313232365714,0.0,0.0,0.0,-0.0017640598672834266,0,0,
205.91304313305528,0.0,0.0,0.0,-0.0017640599120173329,0,0,
208.55295394245343,0.0,0.0,0.0,-0.001764059957728796,0,0,
211.19286475185157,0.0,0.0,0.0,-0.0017640600044045,0,0,
213.8327755612497,0.0,0.0,0.0,-0.0017640600520295886,0,0,
216.47268637064784,0.0,0.0,0.0,-0.0017640601005875973,0,0,
219.11259718004598,0.0,0.0,0.0,-0.001764060150060315,0,0,
221.75250798944413,0.0,0.0,0.0,-0.0017640602004279234,0,0,
224.39241879884227,0.0,0.0,0.0,-0.0017640602516689546,0,0,
227.03232960824042,0.0,0.0,0.0,-0.0017640603037591125,0,0,
229.67224041763856,0.0,0.0,0.0,-0.0017640603566736086,0,0,
232.3121512270367,0.0,0.0,0.0,-0.0017640604103883054,0,0,
234.95206203643485,0.0,0.0,0.0,-0.0017640604648633117,0,0,
237.591972845833,0.0,0.0,0.0,-0.001764060520072353,0,0,
240.23188365523114,0.0,0.0,0.0,-0.0017640605760317208,0,0,
242.8717944646293,0.0,0.0,0.0,-0.0017640606325669969,0,0,
245.51170527402743,0.0,0.0,0.0,-0.0017640606896633156,0,0,
248.15161608342558,0.0,0.0,0.0,-0.0017640607480327332,0,0,
250.79152689282373,0.0,0.0,0.0,-0.0017640608058451677,0,0,
253.43143770222187,0.0,0.0,0.0,-0.00176406086271245,0,0,
