X,Y,Z
116.51510346089925,-188.35556011783353,642.7308665819829
122.36984495322369,-191.70087085657417,634.0658164133955
128.02240339200765,-194.63771705291038,625.1234460656475
133.41010830287206,-197.0638599384891,615.8706249643976
138.45379707999408,-198.8624661125489,606.2874806424619
143.0673587705573,-199.92356715328978,596.3837726613519
147.1816781064114,-200.18192507718973,586.2105129941002
150.7779586038475,-199.65830996721937,575.8521487073052
153.90958826734274,-198.4739291842275,565.3965533809725
156.69222489796613,-196.81946372834406,554.9049666820985
159.26520765019185,-194.89558528989807,544.4051823666024
161.7454300831298,-192.8570011258749,533.9045338770119
164.19211621115306,-190.77829016565155,523.4038661300376
166.61208988081836,-188.66854144379585,512.903198382508
169.0049573734625,-186.5280981730632,502.4025306350823
171.37032939355603,-184.35730858419365,491.9018628876575
173.7078211179585,-182.15652584367777,481.4011951402329
176.0170522589458,-179.92610799715055,470.9005273928085
178.29764712712915,-177.66641791224743,460.3998596453839
180.54923469206662,-175.37782321898896,449.8991918979591
182.7714486419714,-173.06069624934298,439.39852415053474
184.9639274438517,-170.71541397722493,428.89785640311
187.12631440304204,-168.34235795780367,418.3971886556851
189.25825772012848,-165.94191426437257,407.89652090826075
191.35941054809265,-163.5144734255154,397.3958531608362
193.42943104985343,-161.060430362551,386.89518541341135
195.46798245343018,-158.58018432484278,376.39451766598677
197.47473310596385,-156.07413882422478,365.8938499185622
199.44935652820163,-153.5427015698266,355.39318217113765
201.39153146847255,-150.9862844023885,344.8925144237131
203.30094195375932,-148.40530322630835,334.39184667628825
205.17727734095692,-145.80017794191946,323.89117892886384
207.0202323685775,-143.17133237803313,313.39051118143874
208.82950720604427,-140.51919422267585,302.88984343401387
210.60480750158933,-137.84419495291,292.38917568658945
212.34584443064006,-135.14676976501522,281.88850793916475
214.05233474381075,-132.42735750431547,271.3878401917399
215.72400081173294,-129.68640059294947,260.8871724443158
217.36057067019425,-126.92434495786041,250.38650469689634
218.96177805015142,-124.14163995436688,239.8858369487041
220.52645671988824,-121.3382368286365,229.38516981026046
222.0159750573286,-118.49381799219734,218.88467526309296
223.29775633000224,-115.54053827669556,208.38719759734738
224.16662028600186,-112.38169446565168,197.90820057579282
224.3975994370195,-108.92443789170258,187.49140955535046
223.81473356580625,-105.11280609040399,177.2139682993956
222.34426933639327,-100.94429844190391,167.16652259590782
220.02121055505623,-96.46112583873612,157.41941067244937
216.9523060600877,-91.72590086285444,148.00245544668215
213.268508032611,-86.79985005557222,138.90852446925757
209.0924449459186,-81.73220559290999,130.10924376075906
204.5239357269501,-76.5590815950012,121.56974012811426
199.63699313724578,-71.3062041178506,113.25797990693975
194.48250189190273,-65.99128321394922,105.14960355836388
189.09224006357513,-60.626169487702526,97.22969897002457
183.48277535029663,-55.2187043352181,89.49290882572039
177.65893837661073,-49.77423582295253,81.94273196851209
171.61689929152203,-44.296850606599435,74.59046937950664
165.34692627325958,-38.790368431788124,67.45403752466812
158.83591220297578,-33.2591293190708,60.55671240937407
152.06975500267816,-27.708583745981922,53.92574584274661
145.03566163943634,-22.14567408329267,47.59070480374093
137.72437073473242,-16.57897069714378,41.581367980095216
130.13210780086092,-11.018515292667566,35.92516424903686
122.26186354848828,-5.475363256148023,30.64448645341636
114.12352988182178,0.03907751425868339,25.754588735934618
105.73267217555556,5.51368739647877,21.262906398591582
97.10817081923854,10.937968767491524,17.170354423643015
88.2693481390618,16.301834753558268,13.474583226048624
79.23325715367882,21.594722300599987,10.174699119562217
70.01263320083955,26.803980762430378,7.276785705568267
60.61490608028942,31.91256334262189,4.799441574819413
51.042848766421976,36.896311151034816,2.7780176803996204
41.29781184960468,41.72195387091778,1.264861298349814
