s,z_orig,r_orig,z_smooth,r_smooth,dr_orig,dz_orig,dr_smooth,dz_smooth,curvature_orig,curvature_smooth
154.674579,81.759574,184.323129,82.109620,184.341307,0.694436,0.719552,0.692504,0.716979,0.00226172,0.00230303
156.009407,82.721452,185.248632,83.068079,185.264214,0.692268,0.721639,0.690305,0.719099,0.00224689,0.00230288
157.340405,83.683329,186.168605,84.026600,186.181549,0.690114,0.723699,0.688111,0.721200,0.00223351,0.00229084
158.667642,84.645207,187.083126,84.985185,187.093384,0.687972,0.725736,0.685922,0.723281,0.00222162,0.00228980
159.991179,85.607084,187.992270,85.943839,187.999785,0.685840,0.727751,0.683745,0.725337,0.00221125,0.00226463
161.311077,86.568961,188.896108,86.902565,188.900815,0.683718,0.729745,0.681546,0.727400,0.00220244,0.00233338
162.627390,87.530839,189.794702,87.861444,189.796448,0.681603,0.731721,0.679255,0.729532,0.00219523,0.00245264
163.940170,88.492716,190.688114,88.820541,190.686669,0.679495,0.733679,0.677018,0.731600,0.00218964,0.00221744
165.249466,89.454593,191.576396,89.779711,191.571681,0.677391,0.735622,0.674862,0.733579,0.00218573,0.00228118
166.555320,90.416471,192.459600,90.738958,192.451530,0.675290,0.737551,0.672682,0.735567,0.00218351,0.00226673
167.857775,91.378348,193.337769,91.698286,193.326251,0.673190,0.739468,0.670504,0.737540,0.00218303,0.00227533
169.156869,92.340225,194.210944,92.657696,194.195881,0.671090,0.741374,0.668319,0.739506,0.00218433,0.00227990
170.452634,93.302103,195.079161,93.617192,195.060447,0.668988,0.743272,0.666127,0.741466,0.00218744,0.00228762
171.745103,94.263980,195.942449,94.576776,195.919976,0.666882,0.745162,0.663927,0.743420,0.00219238,0.00229717
173.034303,95.225857,196.800837,95.536451,196.774487,0.664771,0.747046,0.661716,0.745371,0.00219921,0.00230688
174.320259,96.187735,197.654345,96.496220,197.623997,0.662652,0.748926,0.659491,0.747322,0.00220796,0.00232503
175.602994,97.149612,198.502991,97.456083,198.468518,0.660523,0.750804,0.657259,0.749266,0.00221865,0.00232035
