z,s,u,v,X,Y,Z,Phi,sigma,newton_iters,bisected,ratio,converged
542.5971727423266,2712985.863711635,1886.9898794406183,44.89101060862385,1860321.854834703,2386717.7463956536,-1017074.9130795386,-9.13604162633419e-06,5000.0,3,0,2.238568674609115,True
543.1671277557114,2715835.638778559,1886.4055262855388,44.890252978439044,1858658.2803950983,2380861.0531589054,-1015178.0988720851,6.435438990592957e-07,5000.000000000001,3,0,2.2362423505169127,True
543.7370827690962,2718685.413845483,1885.8295435482444,44.889426105761586,1857205.3532330194,2374948.725163723,-1013310.7624819387,-1.0784715414047241e-06,5000.0,3,0,2.2331456984102958,True
544.307037782481,2721535.188912407,1885.259888624434,44.88854692393298,1855909.5982351627,2368996.6557629164,-1011466.1926138955,-7.966300472617149e-07,5000.0,3,0,2.2319079652528937,True
544.8769927958657,2724384.963979331,1884.7015077880558,44.88757596242815,1854892.7144682647,2362968.960892558,-1009660.3007359338,8.105998858809471e-07,5000.0,3,0,2.2352112881368464,True
545.4469478092506,2727234.739046255,1884.1284454957336,44.88672188337065,1853507.2013030297,2357056.3702680008,-1007809.1611546442,9.687617421150208e-06,5000.000000000001,2,0,2.226292264828434,True
546.0169028226353,2730084.514113179,1883.547391573238,44.88593023455107,1851922.9050096797,2351208.582624149,-1005934.51613904,-4.9942173063755035e-08,5000.0,3,0,2.2239606259204856,True
546.5868578360202,2732934.289180103,1882.9695415221904,44.88511164593469,1850416.9850128624,2345344.452165469,-1004072.5126962593,7.80564732849598e-06,4999.999999999999,2,0,2.2212494449497506,True
547.1568128494049,2735784.064247027,1882.38744179332,44.88432532910855,1848806.241309721,2339517.500936717,-1002199.1381176134,-2.0989682525396347e-07,5000.0,3,0,2.2194323247397487,True
547.7267678627898,2738633.8393139513,1881.81444992931,44.883464990167695,1847418.5291717208,2333631.4516258426,-1000357.350687845,-1.4974502846598625e-06,5000.0,3,0,2.2168337894361776,True
548.2967228761745,2741483.614380875,1881.2328657799621,44.88267170261336,1845819.2083878373,2327814.3168326425,-998490.2517000039,1.287553459405899e-06,5000.0,3,0,2.2145924553097807,True
548.8666778895594,2744333.3894477994,1880.649452168911,44.881891416592154,1844175.087923629,2322016.9268135307,-996619.6130861442,5.6800199672579765e-06,5000.0,3,0,2.212623928633221,True
549.4366329029441,2747183.1645147232,1880.0795693920882,44.88100221064246,1842859.8294954256,2316129.036230106,-994794.6145077843,2.9441434890031815e-07,5000.000000000001,3,0,2.210284485258539,True
550.006587916329,2750032.9395816475,1879.5081001209242,44.880124401169375,1841503.9616668106,2310259.6989886034,-992966.7720067775,4.990724846720695e-07,5000.000000000001,3,0,2.2075193092314502,True
550.5765429297137,2752882.7146485713,1878.9140152798243,44.87942394085091,1839600.6981122268,2304558.2308018,-991068.9667155308,6.977934390306473e-07,5000.0,3,0,2.210351950754312,True
551.1464979430986,2755732.4897154956,1878.3394942544815,44.87856737095499,1838169.552926692,2298724.157643129,-989235.9575395405,6.676418706774712e-07,5000.0,2,0,2.202384715238854,True
551.7164529564833,2758582.2647824194,1877.7773834307181,44.87761177392679,1837034.5110954088,2292809.3055305844,-987444.7299914557,-4.4028274714946747e-07,5000.0,3,0,2.2034444835574205,True
552.2864079698682,2761432.0398493437,1877.1994129597258,44.876779811636126,1835517.2136915918,2287013.701174332,-985605.2179700882,-1.4354009181261063e-07,5000.0,3,0,2.1976440282208323,True
552.8563629832529,2764281.8149162675,1876.627774489844,44.87589676041303,1834149.8328021052,2281180.4289691797,-983788.1054518363,2.612359821796417e-07,5000.0,3,0,2.195509803092181,True
553.4263179966377,2767131.589983192,1876.0462896787092,44.875089565578435,1832546.867950596,2275423.19181781,-981941.9844335836,5.80446794629097e-07,5000.000000000001,3,0,2.193394596203703,True
553.9962730100225,2769981.3650501156,1875.4612253068055,44.87430882397244,1830858.8981616457,2269697.5550111937,-980086.829215503,-1.5191035345196724e-06,5000.0,3,0,2.1919981549247947,True
554.5662280234073,2772831.14011704,1874.884580290218,44.87346082567065,1829369.5444694266,2263919.957551708,-978260.6564035816,1.1611264199018478e-06,5000.000000000001,3,0,2.1880704608637753,True
555.1361830367921,2775680.9151839637,1874.308090425842,44.87261021546182,1827882.7716368292,2258148.1247397703,-976437.2418827333,1.214561052620411e-06,5000.0,3,0,2.1856986149418436,True
555.706138050177,2778530.690250888,1873.7429216959092,44.8716701705346,1826660.1394688254,2252304.901797044,-974651.8346065619,1.0830117389559746e-06,5000.0,2,0,2.1850390120030663,True
556.2760930635617,2781380.465317812,1873.1593901964718,44.87087170123151,1825005.5838942537,2246595.758908335,-972810.701045382,4.639034159481525e-06,5000.0,3,0,2.1820955776982207,True
556.8460480769465,2784230.240384736,1872.5847758488349,44.87000242110454,1823558.8195392368,2240831.70392801,-970999.9676728151,-3.725755959749222e-06,5000.0,2,0,2.178562867474147,True
557.4160030903313,2787080.01545166,1871.9979683061126,44.86922634522554,1821827.252295552,2235158.4551074756,-969153.1292478007,-8.614733815193176e-08,5000.0,3,0,2.1785168240764365,True
557.985958103716,2789929.7905185837,1871.4094861822487,44.868461556005236,1820057.3276766594,2229503.065577101,-967303.3716948882,3.505265340209007e-07,5000.0,3,0,2.1768989076175242,True
558.5559131171009,2792779.565585508,1870.8396397407516,44.867551301691805,1818717.8052532114,2223727.185214045,-965514.4335995225,-1.407111994922161e-06,5000.0,3,0,2.171755703984417,True
559.1258681304856,2795629.340652432,1870.2749296753395,44.866600240339565,1817494.2819390644,2217923.5277700913,-963743.7956269555,-7.99435656517744e-06,5000.0,3,0,2.170601878633117,True
559.6958231438705,2798479.115719356,1869.6983054129873,44.86573987376231,1815994.456798286,2212208.1940601305,-961938.0340198961,-3.9977021515369415e-07,5000.0,3,0,2.166644262195044,True
560.2657781572552,2801328.89078628,1869.1108127034524,44.86496148510572,1814245.3521169643,2206572.969790959,-960100.5558567334,5.534384399652481e-07,5000.0,3,0,2.1670944799147365,True
560.8357331706401,2804178.665853204,1868.540060998855,44.864053140772505,1812877.8279414866,2200831.584481921,-958317.6781972608,-2.468004822731018e-08,5000.0,3,0,2.1620147203485085,True
561.4056881840248,2807028.440920128,1867.9565088031904,44.86324151498529,1811217.6980214515,2195183.214847558,-956497.0965093344,-3.430759534239769e-07,5000.000000000001,3,0,2.1609347462007182,True
561.9756431974097,2809878.2159870523,1867.389358573925,44.86230309677491,1809928.3463948935,2189431.8945091334,-954729.89502468,1.434003934264183e-06,5000.0,3,0,2.1577684215138206,True
