z,r,dr_dz,d2r_dz2,curvature
83.428304,185.893215,1.284785,-0.014075,0.003261
83.812766,186.260109,1.280719,-0.013663,0.003185
84.197229,186.626142,1.276754,-0.013472,0.003158
84.581691,186.991314,1.272785,-0.013627,0.003213
84.966153,187.355631,1.268712,-0.013976,0.003315
85.350615,187.719097,1.264520,-0.014297,0.003412
85.735078,188.081718,1.260240,-0.014500,0.003482
86.119540,188.443496,1.255911,-0.014606,0.003530
86.504002,188.804426,1.251550,-0.014566,0.003543
86.888464,189.164498,1.247226,-0.014195,0.003474
87.272926,189.523701,1.243068,-0.013510,0.003327
87.657389,189.882021,1.239138,-0.012781,0.003166
88.041851,190.239461,1.235401,-0.012252,0.003051
88.426313,190.596054,1.231774,-0.011964,0.002996
88.810775,190.951835,1.228198,-0.011845,0.002981
89.195238,191.306812,1.224630,-0.012043,0.003047
89.579700,191.660980,1.220922,-0.012688,0.003228
89.964162,192.014336,1.216950,-0.013491,0.003452
90.348624,192.366886,1.212739,-0.013863,0.003570
90.733087,192.718635,1.208525,-0.013450,0.003485
91.117549,193.069586,1.204549,-0.012576,0.003278
91.502011,193.419741,1.200851,-0.011818,0.003097
91.886473,193.769102,1.197325,-0.011455,0.003017
92.270935,194.117671,1.193837,-0.011377,0.003012
92.655398,194.465452,1.190347,-0.011312,0.003010
93.039860,194.812445,1.186886,-0.011121,0.002975
93.424322,195.158652,1.183501,-0.010834,0.002913
93.808784,195.504076,1.180206,-0.010675,0.002884
94.193247,195.848716,1.176909,-0.010931,0.002967
94.577709,196.192575,1.173445,-0.011569,0.003157
94.962171,196.535654,1.169740,-0.012145,0.003332
95.346633,196.877952,1.165906,-0.012166,0.003357
95.731096,197.219472,1.162174,-0.011607,0.003221
96.115558,197.560212,1.158674,-0.010903,0.003041
96.500020,197.900173,1.155369,-0.010427,0.002922
96.884482,198.239357,1.152156,-0.010219,0.002878
97.268944,198.577765,1.148970,-0.010124,0.002865
97.653407,198.915398,1.145806,-0.010034,0.002853
98.037869,199.252247,1.142667,-0.009941,0.002839
98.422331,199.588301,1.139552,-0.009854,0.002828
98.806793,199.923553,1.136458,-0.009794,0.002823
99.191256,200.257996,1.133372,-0.009769,0.002829
99.575718,200.591629,1.130284,-0.009789,0.002848
99.960180,200.924472,1.127175,-0.009926,0.002901
