s,X,Y,Z,lambda,phi
795.676317644395,-114.472332478114,-22.7055569867111,939.641517503709,369.05764368794,-1.77635683940025e-14
799.954147309149,-110.46002815928,-29.8866901074623,940.658870315324,369.682129956851,-1.50990331349021e-14
804.231976973904,-106.510290680051,-37.0098106885594,941.403767584281,370.165956790539,3.5527136788005e-15
808.509806638659,-102.595663090524,-44.0363970518305,941.89499406507,370.503455554552,2.48689957516035e-14
812.787636303414,-98.7103543255079,-50.9411286102786,942.145252368939,370.689526634484,-1.4210854715202e-14
817.065465968169,-94.8550477163591,-57.7061098317287,942.167587911895,370.722364389238,2.30926389122033e-14
821.343295632923,-91.0323030031966,-64.3189651530143,941.976648851831,370.603767212408,2.48689957516035e-14
825.621125297678,-87.2446989412907,-70.7717675518301,941.588583561333,370.338708240877,-5.32907051820075e-14
829.898954962433,-83.5048311294316,-77.0637545356708,941.015877688494,369.932241641596,2.48689957516035e-14
834.176784627188,-79.704010747407,-83.2588561504944,940.288971574843,369.457436218341,-4.9737991503207e-14
838.454614291943,-75.9613339118003,-89.2107944928269,939.431195363826,368.823149514133,7.46069872548105e-14
842.732443956697,-72.2783417357766,-94.9997401575897,938.435565047048,368.070507426219,-7.105427357601e-15
847.010273621452,-68.7555256765734,-100.685451812324,937.270523490496,367.199160548905,1.4210854715202e-14
851.288103286207,-64.9952871901311,-106.249955362537,936.057668406432,366.338493016503,0
855.565932950962,-61.4338306634249,-111.593070101998,934.738642502176,365.313775368896,-7.105427357601e-15
859.843762615717,-57.9561840218313,-117.000422113872,933.240176841342,364.28295088593,-1.4210854715202e-14
864.121592280472,-54.3515504422655,-122.018507347301,931.807246829825,363.133878764612,-1.77635683940025e-14
868.399421945226,-50.8724018434284,-127.154289987215,930.179218604606,361.997257458152,-1.77635683940025e-14
872.677251609981,-47.3682669806805,-131.960424055924,928.592261053166,360.740580277282,-7.46069872548105e-14
876.955081274736,-43.8166877847779,-136.824172898618,926.879692274639,359.531661788229,-1.4210854715202e-14
881.232910939491,-40.4651825671605,-141.408900365548,925.169037884412,358.160332142869,-7.105427357601e-15
885.510740604246,-36.8754357549706,-146.056605673721,923.364917663046,356.900441382899,-7.105427357601e-15
889.788570269,-33.3310287067751,-150.628751300636,921.495942639273,355.613009392434,-6.3948846218409e-14
894.066399933755,-30.0098992631242,-154.943310668286,919.643997189921,354.169067340205,3.5527136788005e-14
898.34422959851,-26.5138760181974,-159.227400839721,917.741654520974,352.782597395817,7.105427357601e-14
902.622059263265,-22.930302993453,-163.426112469027,915.807102111975,351.405426674782,-4.9737991503207e-14
906.89988892802,-19.4839798746677,-167.587941707494,913.799784835696,349.995630957378,3.5527136788005e-14
911.177718592774,-16.0357528554988,-171.631224281907,911.778537878778,348.557052504114,-1.4210854715202e-14
915.455548257529,-12.5403517692891,-175.546393971708,909.754106553395,347.098094006637,-3.5527136788005e-14
919.733377922284,-9.19497547617169,-179.371291473246,907.701165431946,345.578927506655,-6.3948846218409e-14
924.011207587039,-5.72434506671843,-183.13127298415,905.617378639516,344.091304469837,9.2370555648813e-14
928.289037251794,-2.29332192541185,-186.741722792858,903.548848698136,342.546909472862,2.1316282072803e-14
932.566866916549,1.07334188340869,-190.242269608216,901.476892062239,340.956311190701,-1.4210854715202e-14
936.844696581303,4.36295072476861,-193.594159336444,899.429674963436,339.29560768455,-3.5527136788005e-14
941.122526246058,7.83689634520491,-196.798555813094,897.405847066959,337.641930845632,3.5527136788005e-14
945.400355910813,10.930956049041,-200.020867852139,895.31915001588,335.907821148079,2.8421709430404e-14
949.678185575568,14.0364387639965,-202.931585107804,893.370785906759,334.043575499684,-3.5527136788005e-14
953.956015240322,17.1885689703694,-205.841840284663,891.366348244102,332.215756853212,7.105427357601e-15
958.233844905077,20.155028295872,-208.572608319618,889.434436494571,330.260705701974,7.105427357601e-15
962.511674569832,23.0219494811092,-211.234934636423,887.504697463641,328.259916896638,7.105427357601e-15
966.789504234587,25.8263442708636,-213.835007093255,885.573540705251,326.227140403681,-3.5527136788005e-14
971.067333899342,28.561360615476,-216.318476298044,883.680462756551,324.130506111758,0
975.345163564097,31.1792434786777,-218.788804502393,881.7633636984,322.008289329316,2.1316282072803e-14
979.622993228851,33.738888145216,-221.242157827011,879.820971432005,319.876833701226,5.6843418860808e-14
983.900822893606,36.2392575664988,-223.72638540816,877.820757047797,317.761512488256,-3.5527136788005e-14
988.178652558361,38.7470567352526,-226.25894673594,875.741639717488,315.694341045955,4.9737991503207e-14
992.456482223116,41.223226661608,-228.88076920441,873.556254977529,313.686136426568,-2.8421709430404e-14
996.734311887871,43.7356621757506,-231.637217433743,871.218352876587,311.78672619823,-5.6843418860808e-14
1001.01214155263,46.321864603311,-234.558691432176,868.692102535006,310.029146103432,7.105427357601e-15
1005.28997121738,49.0167945273911,-237.705154293286,865.915419454512,308.463977681859,2.1316282072803e-14
1009.56780088213,51.920665772345,-241.07577464993,862.855478959973,307.1319193165,-2.8421709430404e-14
1013.84563054689,55.0522515590522,-244.690079780204,859.470366942833,306.059190239328,3.5527136788005e-14
1018.12346021164,58.4689458463116,-248.595142364365,855.681172980589,305.304184149405,-4.2632564145606e-14
1022.4012898764,62.2626139139891,-252.781497089707,851.435189334161,304.90789973579,-2.1316282072803e-14
