z,r,dr_dz,d2r_dz2,curvature
84.197229,186.657876,0.950573,-0.005848,0.002227
84.581691,187.022904,0.948331,-0.005816,0.002222
84.966153,187.387071,0.946101,-0.005785,0.002218
85.350615,187.750384,0.943882,-0.005755,0.002213
85.735078,188.112845,0.941675,-0.005726,0.002210
86.119540,188.474461,0.939479,-0.005698,0.002206
86.504002,188.835234,0.937294,-0.005671,0.002203
86.888464,189.195169,0.935119,-0.005644,0.002199
87.272926,189.554269,0.932954,-0.005619,0.002197
87.657389,189.912540,0.930798,-0.005594,0.002194
88.041851,190.269983,0.928652,-0.005570,0.002192
88.426313,190.626603,0.926515,-0.005547,0.002190
88.810775,190.982403,0.924387,-0.005525,0.002188
89.195238,191.337387,0.922267,-0.005504,0.002186
89.579700,191.691557,0.920155,-0.005483,0.002185
89.964162,192.044916,0.918051,-0.005463,0.002184
90.348624,192.397468,0.915954,-0.005444,0.002183
90.733087,192.749216,0.913865,-0.005426,0.002183
91.117549,193.100161,0.911782,-0.005409,0.002183
91.502011,193.450307,0.909706,-0.005392,0.002183
91.886473,193.799656,0.907635,-0.005377,0.002183
92.270935,194.148210,0.905571,-0.005362,0.002184
92.655398,194.495972,0.903513,-0.005348,0.002185
93.039860,194.842943,0.901459,-0.005334,0.002186
93.424322,195.189126,0.899411,-0.005322,0.002187
93.808784,195.534522,0.897367,-0.005310,0.002189
94.193247,195.879133,0.895328,-0.005299,0.002191
94.577709,196.222961,0.893292,-0.005289,0.002194
94.962171,196.566007,0.891261,-0.005280,0.002197
95.346633,196.908273,0.889232,-0.005271,0.002200
95.731096,197.249760,0.887207,-0.005263,0.002203
96.115558,197.590469,0.885185,-0.005256,0.002207
96.500020,197.930401,0.883166,-0.005250,0.002211
96.884482,198.269557,0.881149,-0.005244,0.002215
97.268944,198.607937,0.879133,-0.005239,0.002220
97.653407,198.945544,0.877120,-0.005235,0.002224
98.037869,199.282376,0.875108,-0.005232,0.002230
98.422331,199.618436,0.873097,-0.005229,0.002235
98.806793,199.953722,0.871087,-0.005228,0.002241
99.191256,200.288236,0.869077,-0.005226,0.002247
